price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,age
3650,18,8443,0,3,2,153000.0,0,0,1,0,12,10,8.0
5995,0,9271,0,3,2,152000.0,0,0,1,2,9,5,16.0
7975,11,7847,0,6,2,228409.0,0,0,2,1,10,10,13.0
7500,6,5725,0,6,0,199000.0,0,0,0,1,8,10,22.0
14900,17,9609,0,5,2,100300.0,0,1,0,2,0,9,15.0
3595,6,5434,2,5,2,147667.0,0,0,1,1,9,8,15.0
9000,2,7534,0,6,2,141000.0,0,1,0,2,9,0,15.0
9850,6,8030,2,6,2,182225.0,0,0,0,1,10,1,12.0
2995,37,7601,2,5,2,135000.0,0,0,1,1,9,2,19.0
8995,33,4811,0,3,2,105000.0,0,0,0,2,0,0,11.0
5995,10,7132,2,5,2,148600.0,0,0,0,2,10,9,14.0
8995,30,40,2,6,2,129000.0,0,0,0,1,10,5,15.0
10990,6,8030,2,6,2,93726.0,0,0,0,1,10,10,14.0
15950,13,2612,0,3,2,69798.0,0,2,0,1,0,0,5.0
11950,17,9599,0,5,2,97211.0,0,0,0,1,0,3,17.0
16950,17,9599,0,5,2,85490.0,0,2,0,1,0,8,10.0
6500,14,7625,2,5,2,98000.0,0,1,1,2,0,10,11.0
5000,6,8818,2,4,2,259877.0,0,0,0,1,0,10,15.0
3495,18,7725,2,3,2,164400.0,0,0,1,1,5,10,11.0
15000,35,8721,0,5,2,221000.0,0,0,0,2,10,0,11.0
17500,13,2726,0,3,2,85000.0,0,0,0,0,0,1,4.0
10950,10,3641,0,6,2,130390.0,0,0,0,1,0,0,9.0
6550,10,3286,0,5,2,200083.0,0,0,1,1,0,2,9.0
23000,13,1264,3,3,2,15000.0,0,1,1,1,9,5,2.0
4300,7,9070,2,5,2,180368.0,1,0,1,2,5,0,12.0
18995,30,176,0,5,0,113000.0,0,0,0,1,10,5,4.0
14500,10,4660,2,5,0,137234.0,0,1,2,1,10,10,19.0
3950,33,5466,0,3,2,137882.0,0,0,0,0,4,9,11.0
8995,6,8641,2,6,2,336720.0,0,0,0,1,0,2,9.0
5295,10,3852,2,6,2,225000.0,0,0,0,1,8,10,15.0
7500,17,2459,0,5,2,155000.0,0,0,0,1,0,4,14.0
10900,30,146,0,6,2,110627.0,0,0,0,1,10,2,16.0
4200,4,7353,0,6,2,153000.0,0,0,1,1,9,1,27.0
